address,raw_amount,Amount sent
0x1decf9e9d17d0d893c1a83cd2232c29cac3ecb55,720583,0.7205
0xbc95385b1687c628f57ce12d02254e79242382d3,709092,0.709
0xa7b114832112e4286dd72b2c22959c739d102a1a,699932,0.6999
0xd0e1be63ce1c38af5971cca3f4bf155f4d48563f,693854,0.6938
0x124dd2c4eab05f85c27d0d21648b15f96e4a710c,681281,0.6812
0xd2c7535a040fc3d960ade0e5cf5d071bf4221f1c,659994,0.6599
0x08abc0167916906f3d0c3be40efad43e014c066c,613254,0.6132
0x16a7727397ce4d689754bf00965963ae292d73aa,583369,0.5833
0xad3864b39fc5b551769052ebfd0db9414644eda6,563690,0.5636
0x6508e3236423adb6c3e13285957431865e4108c2,563687,0.5636
0xf4a3adf696838d8f8035cdb4fcfa9403e3a16863,560610,0.5606
0xef33e160d64620a76122bdc33d5ec1ee75a36412,557501,0.5575
0x980cbcb2fecbebcf833b836cbfc9469f3b4fcb43,547818,0.5478
0xf8e85fd6a2a73a5d2cc9df4209ac0c1dc16e15a4,539276,0.5392
0xdbc514ccc95c64077bef2870e1ba667747e1f384,519699,0.5196
0xbcec4e1f190c1b07a6d8b9c0c74504415d8a8736,518838,0.5188
0x5fe9c1dc216eb6f92e2a6f6c8f8138013ebc5755,504617,0.5046
0x34629be754cd69458188bae152613e63c7acc9df,495491,0.4954
0xd187bd1139b55cf34c4f0b17badeaf33b0852e45,459658,0.4596
0xd0a7ce553ce97171638ea9d7602cab5fc8797ee0,441831,0.4418
0x11c128b5ae504e26a19a4f8ea22c5212bb0d4e59,431409,0.4314
0x8984dad7e0fe84565073078cfb0f8a3ef30220a8,426324,0.4263
0x02afe5211cd9731b2e65bfc7857e73bda234f6d3,416015,0.416
0x4bd454d18191d34c0f9401042d952a8debcd22d4,413981,0.4139
0x6c3858d9acd9e324f49e515127af8051a2fbba60,413040,0.413
0x881e625e5c30973b47cee3a0f3ef456012f13f7d,411457,0.4114
0xbcff1630590812b1d3b729d366d528255b595ab8,409603,0.4096
0xe29e1bd34ad0001061c6544a8597d620f42a07aa,408779,0.4087
0x2025ca90de3d649da0b394e66e14de50a198cf8d,408190,0.4081
0x75abc92c75689cee1806f261653ac86901209be3,408109,0.4081
0xa136dffa62b162da8039bc604c331ddf63c2757b,405996,0.4059
0x789d42f23cf436ed62421c68beffe570157f2b2d,402828,0.4028
0x4ffd0a59a26cb2aa76d403215e4cc2845c053994,400866,0.4008
0xd2c637eb039c944a7a3d8c58512008374d22eae7,398337,0.3983
0x026f347a39cebefb4120d9b50530ecc4f93e301f,398090,0.398
0xee67025fe03a202be6199c673ae73c9d26701e66,396777,0.3967
0x2f07db372654c5d34a0e2bf85111c55c531e2858,391688,0.3916
0xdeada785e20eb23ca6366e5b21761201d9a61861,385494,0.3854
0xd13e173cb081ce5529bff4acf2fa98a7071f8e40,369878,0.3698
0x048a58645447ecf7e2ee4ec95804aa9062075ebe,358843,0.3588
0xec97f1c07b29e21cece5581fc3354c3feac7db7b,353246,0.3532
0x4e7bbbb225bbf227e1c97afe78a6b0d2bc08489b,350325,0.3503
0x6719558682cbb76f7fa6c216c7b51791b163a6b8,348981,0.3489
0x513bb2a1d6fd2009a708be45759eda01dc607f12,342625,0.3426
0x55e9877c8e66801313607396e7e563391753f800,321701,0.3217
0x39715edf5cab14caac352346f185551c66a36efa,314759,0.3147
0x1f7cab552b8bd8aad2804d7863797e3819da0bad,313854,0.3138
0x00c6e75abad8ab8a4d71772689eedf6deea0aa17,308209,0.3082
0x5075f4842af754ae140eb66fd3adfe741b689078,298234,0.2982
0xa2a7624aa15f31ecce9d934160dc99caefee25fa,279958,0.2799
0x7a77784d32fef468c2a46cdf4ef2e15ef2cb2226,278038,0.278
0xa0ca63e5ce8b09d8d395ac0701e65463fcb1a9b1,275771,0.2757
0x2161a8a79f7d237434792d22a17a8911bee9322b,273260,0.2732
0x0b03d623436a3d2b5401626208efc91d7a58dbcb,263724,0.2637
0xb5e6b895734409df411a052195eb4ee7e40d8696,261406,0.2614
0xebf2efe522c988bfa05ad3e0f8940bd48461db46,257550,0.2575
0x27c846d12d9317d1b341d61f4facf2d38e748494,250404,0.2504
0xed9b74f0e67d22dbfbc823cd9c00b6395386ebd5,245648,0.2456
0x77bbcffb0042a4c563c503818e278d2c6a776983,244233,0.2442
0x64871942a61198047f19fab3642a2124094dfcb5,242893,0.2428
0x5d657b623da77f9f24a13ae2c0d81cb85b131c9c,240641,0.2406
0x1605d2893df5a34a7cc8ca0b2345a98283d82e14,237771,0.2377
0xea150ea13b1bacc3abaec3eda0bb38df6e06a656,236421,0.2364
0xba2a1545d77b974f7d669570d6bbd7aee82d5286,231820,0.2318
